,Title,Review,Collections
24,outer limits,4/4. self-contained suspenseful stories -with some lessons.,"General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
25,twilight zone,4/4. self-contained suspenseful moral stories from the 50's.,"General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
26,gautamIputra satakarni,"A few hitorical details. Some memorable patriotic and pro-xAtra dialogues. Dumb action sequences, bad choice of hero actor.","General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
27,the final fantasy,"Synopsis__: lilu the perfect one
Comments__:","General Adventure:Fantasy adventure,Fantasy adventure,General Adventure"
28,highlander,"Synopsis__:  an immortal scots swordsman's adventures in the modern world.
Comments__:","General Adventure:Fantasy adventure,Fantasy adventure,General Adventure"
29,reign of fire,"Synopsis__: hunt for the sole main dragon
Comments__:","General Adventure:Fantasy adventure,Fantasy adventure,General Adventure"
30,"Princess Mononoke/
mononoke hime","Synopsis__: Adventurer seeking to lift a curse from killing a hate twisted boar collaborates with Mononoke-hime of the enchanted forest to rescue the forest spirit beheaded by a collaboration of bounty hunters and miners with guns (made of rescued prostitutes and other males, led by female)
Comments__: This is art. Beautiful.","General Adventure:Fantasy adventure,Fantasy adventure,General Adventure"
31,Nausicaä of the Valley of the Wind,"Synopsis__: After an apocalyptic war, toxic jungle spreads accross the earth, in the bowels of which the earth heals itself. This forest is defended by Ohm worms. Nausicaa of the valley of the wind rescues the Ohm worm captured by the miltaristic state, which is trying to revive a war robot - and foils their plan. The Ohm return her to life with their mysterious golden tentacle powers.
Comments__:","General Adventure:Fantasy adventure,Fantasy adventure,General Adventure"
32,kiki's delivery service,"Synopsis__: 13 yr old witch starts a new delivery business in a new city - has a great adventure, making new kind friends (painter in the woods, a baker couple, a plane-enthusiast boy, an old woman). Looses magic and the ability to fly when flying becomes a chore. Then regains it once she enjoys it again with the encouragement of friends when the boy is caught in a stuck dirigible!
Comments__: Simple dreams, kind people, communicates thrill and the importance of keeping in touch with one's passion.","General Adventure:Fantasy adventure,Fantasy adventure,General Adventure"
33,The witches,"Synopsis__: Nice kid movie. Kid transformed to mouse, forewarned by grandmother, turns the grand witch's plot to turn every kid into a mouse on the witches attending the convention themselves.
Comments__:","General Adventure:Fantasy adventure,Fantasy adventure,General Adventure"
34,Return of hanuman,"Synopsis__: hanumAn returns to earth to help a bullied kid and other humans; ends up saving humanity (depicted as becoming asura-s) from the fruits of their karma (esp pollution of prakRti) from destroying them as the praLaya.
Comments__: Respectful to and oft consistent with the deva-s, RShi-s and the purANa-s - while injecting fun especially through modern references.","General Adventure,Hindu Fantasy,General Adventure:Hindu Fantasy"
35,magadheera,"Synopsis__: A love triangle involving a princess, an evil senApati and a good warrior continues after their rebirth 400 years later in the modern age; involving a muslim conqueror, the betraying senApati, the reluctant king, bad omens, assisting magicians.
Comments__: The bhAva-s are wonderful.
Plot is great.","General Adventure,Hindu Fantasy,General Adventure:Hindu Fantasy"
36,damarukam,"Synopsis__: andhakAsura, trying to control the five bhUta-s tries to marry a special girl at the appointed muhUrta. But is thwarted by a mortal with help from shankara, who makes an appearance as a human. shiva's human form, dialogs and gentle actions are superb projection of shivaness in human form.
Comments__: Super opening scene. A good dRShya-kAvya.","General Adventure,Hindu Fantasy,General Adventure:Hindu Fantasy"
37,bAhubalI,"Synopsis__: Classic tale of a lost prince of a popular kShatriya, fostered to youth by forest dwellers, seeks vengence, finding love in a rebel. Interesting battle scenes.
Comments__: Great special effects, but quite predictable. The only rasa that flowed well for me was the spirit of competition between bAhubalI and his rival.","General Adventure,Hindu Fantasy,General Adventure:Hindu Fantasy"
38,bAhubalI,"Synopsis__: Greed, selfishness and vanity vs heartiness, love and honor set in with fine hindu kingdoms in the background
Comments__: Splendid, riveting special effects! Riveting plot! Flights of the imagination!","General Adventure,Hindu Fantasy,General Adventure:Hindu Fantasy"
39,Thiruvilayadal,"Synopsis__: various shivaliilaa tales narrated by pArvatI to muruga
Comments__: Full of Dravidian/ Tamil and feminist political propaganda, spoils the spirit of poetry, mocks brAhmaNa-s, special effects are mediocre and doesn't even get the stories straight (dAkShAyaNI and shiva fight!??). On the plus side, the structure is good - tale within tale, shivaliilaa theme fits well, dialogues are intelligent, some rasa oozes out here and there (although ostentatiously).","General Adventure,Hindu Fantasy,General Adventure:Hindu Fantasy"
40,evil dead,,"General Adventure,Horror,General Adventure:Horror"
41,ghosts of mars,stupid. 1/4.,"General Adventure,Horror,General Adventure:Horror"
42,jaws,,"General Adventure,Horror,General Adventure:Horror"
43,children of the corn,,"General Adventure,Horror,General Adventure:Horror"
44,wolf,"Synopsis__:  3 become werewolves
Comments__:","General Adventure,Horror,General Adventure:Horror"
45,sunshine,,"General Adventure,Horror,General Adventure:Horror"
46,,,"General Adventure,Horror,General Adventure:Horror"
47,paycheck,"Synopsis__:  memory erased engineer unmakes time machine
Comments__:","General Adventure:Time travel,Time travel,General Adventure"
48,Time bandits,"Synopsis__: 6 dwarves and a boy use a map of the defects in the universe (holes for time travel) for loot and adventure, with a final facedown with imprisoned satan who wants to get a hold of it (all this arranged by the creator as a test). Stupid.
Comments__:","General Adventure:Time travel,Time travel,General Adventure"
49,Edge of tomorrow,"Synopsis__: A reluctant soldier accompanies a more experienced female soldier in a series of time-loops (whose memories he retains) during a fight with alien invaders (who are near-unbeatable because they use a similar time-loop to fix errors in their strategies). After a close contest, he manages to kill the alien queen. 
Comments__:","General Adventure:Time travel,Time travel,General Adventure"
50,murder on the orient express,"Synopsis__:  poirot discovers an execution by 12 people involved in the armstrong case
Comments__:  foils their attempt to fool him","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
51,Sherlock,"Synopsis__:  4/4. contemporary reimagination of texting, cocaine-patch using Sherlock Holmes, and gay Moriarty
Comments__:  4/4.","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
52,rangitaranga,"Synopsis__: a mysterious writer with pregnant wife and memory loss prior to 7 years, sought by a desparate journalist comes to her haunted house to perform a bhUta-pUjA - only to be attacked by mistake, have his wife kidnapped, locked up by an irate but slightly corrupt cop, befriended by a postmaster-teacher pair, witness to illegal sand extraction. Wife's kidnapping seems connected to guDDada-bhUta which causes people to die or go missing during a certain period every year. Once the journalist catches up with him, truth begins to unravel. His wife, the journalist, the postmaster, the village doctor - none of them are what they seem. In the climax, the wife is rescued, and all is well - thanks to a sacrifice we learn of in the end.
Comments__: Brilliant - surprise after surprise. One falsified hypothesis leads to another.","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
53,Mr. Holmes,"Synopsis__: Senile dying Sherlock somehow gains redemption by understanding and making up for his mistake in the last case - stating the facts without caring for emotions or making a comforting story. Tries to remember hard - gets strange herbs, still retains some of his awesome detective abilities.
Comments__: A jarring insult to Japanese sensibilities - to imply that a diplomat chose to serve the British Empire and not return home. Otherwise quite sweet.","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
54,Poirot,"Synopsis__:  based on Agatha Christie's work
Comments__:  good series.","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
55,JAG,,"Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
56,due south,,"Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
57,,,"Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
58,Dexter,"Synopsis__:  A serial killer of serial killers with day-job as a homicide blood splatter expert. There is the tension of pretending and hunting, of dodging some threat to his existence. A clean efficient outsider observing social complexity. Some silent thoughts told to audience. Interesting ancilliary characters. Danger Makes dabbling without killing look too easy, foul language. 
Comments__:  4/4. (season 1), 3/4. (season 2), 1.5/4. (season 3 beginning - surreal plots, staged feeling behind sets and acting.)","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
59,Phantom 2040,"Synopsis__:  the ghost who walks equipped with magical gizmos, a green warrior in a dying world, with men as computer programs and machine integration
Comments__:  4/4., good fantasy adventure.","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
60,Batman: The dark knight rises,"Synopsis__: Joker twists DA Harvey into Scarface, kills people with impunity - for chaos in contempt for scheming, not money. Two ferrys refuse to blow each other up in a 'prisoner's dilemma' game. Batman takes the fall for Harvey to keep Gotham spirit up.
Comments__:","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
61,witchblade,"Synopsis__:  a female detective equipped with an armor producing bracelet
Comments__:","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
62,se7en,"Synopsis__: A very skilled serial killer with no history tries bring the 7 deadly sins to general attention by his art. A cynical retiring smart cultured detective, and a brash colleague tackle him. Manipulating the brash guy into his art in the end.
Comments__:","Deductive adventure:Crime and detectives,Deductive adventure,Crime and detectives"
63,hackers,"Synopsis__:  baad hacker frames good misunderstood hackers who unframe themselves
Comments__:","Deductive adventure,Orchestration,Deductive adventure:Orchestration"
64,tsubaki sanjuro,"Synopsis__:  clever sword-skilled ronin helps young foolish unskilled noblemen in exposing a corrupt superintendant.
Comments__:","Deductive adventure,Orchestration,Deductive adventure:Orchestration"
65,Hidden fortress,"Synopsis__:  with sacrifice of other samurAi and attendants along the way, samurAi escorting sole survivor princess of defeated clan and clan gold exploits greed of bungling pesants to reach allies contrast the silly greed and lack of trust of the pesants with the sacrifice and effectiveness of samurAi.
Comments__:","Deductive adventure,Orchestration,Deductive adventure:Orchestration"
66,face off,"Synopsis__: clever terrorist et clever cop
Comments__:","Deductive adventure,Orchestration,Deductive adventure:Orchestration"
67,Rajkumar,"Synopsis__:  based on romantically obsessed Nepali prince dipendra who massacred family.
Comments__: 4/4.",",Deductive adventure,Deductive adventure:Orchestration:Psychotics.:,Orchestration,Psychotics."
68,Silence of the lambs,"Synopsis__:  cannibal hannibal lecter escapes, a female detective is on his trail fails to catch him.
Comments__: 4/4.",",Deductive adventure,Deductive adventure:Orchestration:Psychotics.:,Orchestration,Psychotics."
69,ripley's game,"Synopsis__:  the unperturbable criminal with flair.

This film set in Europe, where one of the characters, a calm professional killer, out of some minor grouse, sets up his neighbor to do a hit job after fooling him into thinking that he is terminally ill. The killing happens on a train. When retribution comes to the neighbor, the calm killer defends the house and kills the invaders. The neighbor dies in the process, saving him! In a memorable final scene, the killer's wife spits on his face after she understands what happened, he just wipes it off with a window blind and goes away to attend his wife's concert.
Comments__:",",Deductive adventure,Deductive adventure:Orchestration:Psychotics.:,Orchestration,Psychotics."
70,Doctor Who,"Synopsis__:  Plot The hero is a highly creative genius TimeLord endowed with knowledge, resources and dharma. The episodes are fast paced, coherent adventures in various points in space-time, where the Doctor is placed in crisis situations. Effect on viewer Effects of watching adventure flicks are naturally observed. There is also the intellectual stimulation of observing the clever Doctor solving puzzles like Sherlock Holmes. Inspiration one can draw from this The Doctor's ability to enjoy himself in nearly all situations [the result of a strong dharma-lagnatA] , his insatiable curiosity and creativity. Pre-2005 versions of Doctor Who was less dynamic, special effects were primitive leading to a worse show.
Comments__: Few episodes are good, many are silly.",",Science Fiction,Deductive adventure:Deductive adventure:Science Fiction:,Deductive adventure"
71,Gargoyles,"Synopsis__: Gargoyles that are stone during day and live during night have an adventure in NY.
Comments__: Very mediocre cartoon.",Action adventure
72,samurai jack,,Action adventure
73,batman,,Action adventure
74,spiderman,,Action adventure
75,The amazing spiderman ,"Synopsis__: Teenage Chris parker gets bitten by a spider, makes add-on machines, becomes spiderman, sees uncle die.
Comments__: Emotionally moving - bullying, reconciliation, teenage love, enjoyment of new-found power, teenage-confusion (who am I).",Action adventure
76,the league of extraordinary gentlemen,"Synopsis__:  nemo and victorian heroes fight villan
Comments__:",Action adventure
77,the phantom,,Action adventure
78,mask of zorro,,Action adventure
79,true lies,"Synopsis__:  spy arnie gives his innocent wife some adventure
Comments__:",Action adventure
80,no way out,"Synopsis__:  fbi man with captive jap boss and airhostess rescues son .
Comments__:",Action adventure
81,The Last stand,"Synopsis__: Well planned escape of criminal to mexico foiled by small town policeman with much experience.
Comments__: Formula movie.",Action adventure
82,Underworld,"2 hr long poor story, fighting.",Action adventure
83,the cook,"Synopsis__:  cook on ship
Comments__:",Action adventure
84,showdown in little tokyo,"Synopsis__:  yakuza and brandon lee
Comments__:",Action adventure
85,commando,,Action adventure
86,end of days,"Synopsis__:  save girl from being satan's wife
Comments__:",Action adventure
87,conan the barbarian,,Action adventure
88,kull the conqueror,,Action adventure
89,collateral damage,"Synopsis__:  father gets revenge on columbian terrorist
Comments__:",Action adventure
90,hard target,"Synopsis__:  human hunters get hunted by prey.
Comments__:",Action adventure
91,scorpion king,"Synopsis__:  similar to mummy 1 and 2
Comments__:",Action adventure
92,welcome to the jungle,"Synopsis__:  the rock
Comments__:  a comical action adventure highlighting fistfighting, shooting skills of a bodyguard/ capturer sent to fetch a person from an equatorial american region exploited by cruel miners",Action adventure
93,clear and present danger,"Synopsis__:  tom clancy's analyst jack ryan in columbia to solve drug mystery.
Comments__:",Action adventure
94,jungle book,,Action adventure
95,night of the dragon,"Synopsis__:  new york chinatown's triad subsidiary gets cooked by well decorated vietnam veteran polish cop
Comments__:",Action adventure
96,vertical limit,"Synopsis__:  'OM mani padme.hum' chanting generally compassionate super-mountaineer seeking vengence from millionaire on k2
Comments__:",Action adventure
97,ashish,,"Magic adventure,Action adventure,Action adventure:Magic adventure"
98,the mask,,"Magic adventure,Action adventure,Action adventure:Magic adventure"
99,Baby,"Synopsis__: Special ops team (composed of muslims and hindus) captures and kills muslim pAkistAni terror agents. Strangely, in the final operation, they're allowed to escape from Arabia by a saudi investigator
Comments__: Sickular message. Fair action and suspence.",Action adventure
100,Hunger Games,"Synopsis__: Male and female Teenagers from 12 districts participate in one-survives game. A good series of events and action which keep viewers from getting bored. An OK array of caring, cruel, intelligent personalities.
Comments__:",Action adventure
101,Thor,"Synopsis__: Adorable glimpse into Norse mythology. Odin, Thor and his hammer, Loki the trickster, Ice giants, bridges to earth, Thor learning humbleness and sacrifice after his father Odin's curse.
Comments__: Good introduction to Norse mythos.",Action adventure
102,Thor: The Dark world,"Synopsis__: The primodial superweapon, ether, is stolen and is recovered.
Comments__: Predictable.",Action adventure
103,Immortal,"Synopsis__: Release of the Titans by a vengeful mortal opposed by another mortal supported slightly by Olympian Gods.
Finally, a battle with the Titans.
Comments__: Not faithful to the mythos.
Overemphasis on disbelief.",Action adventure
104,the fast and the furious,"Synopsis__:  street racers and undercover cop
Comments__:","Action adventure,Action adventure:Cars and planes,Cars and planes"
105,gone in 60 seconds,"Synopsis__:  car thief steals many cars to get brother freed.
Comments__:","Action adventure,Action adventure:Cars and planes,Cars and planes"
106,Mad Max,"Synopsis__:  Road Cop's vengence against a murderous rapist motorcycle gang in post-apocalyptic world
Comments__:","Action adventure,Action adventure:Cars and planes,Cars and planes"
107,Mad Max 2 Road warrior,"Synopsis__:  colonists resisting maurauder gang helped by Max
Comments__:  3/4., slightly cliche but good.","Action adventure,Action adventure:Cars and planes,Cars and planes"
108,aliens 2,,"Science fiction,Action adventure:Science fiction,Action adventure"
109,predator 1,,"Science fiction,Action adventure:Science fiction,Action adventure"
110,predator 2,,"Science fiction,Action adventure:Science fiction,Action adventure"
111,pitch black,"Synopsis__:  total eclipse on desert planet brings out animals, but riddick is in his element
Comments__:  4/4.","Science fiction,Action adventure:Science fiction,Action adventure"
112,the chronicles of riddick,"Synopsis__:  jack has grown into deadly woman.. riddick comes to rule an intolerant brutal cult which hunts him
Comments__:","Science fiction,Action adventure:Science fiction,Action adventure"
113,Riddick,"Synopsis__: Bad recasting of the Pitch Black trope.
Comments__: A couple of good scenes. Otherwise cliche.","Science fiction,Action adventure:Science fiction,Action adventure"
114,Mad Max Beyond thunderdome,,"Science fiction,Action adventure:Science fiction,Action adventure"
115,Transformers Dark side of the moon,,"Science fiction,Action adventure:Science fiction,Action adventure"
116,The quest for fire,"Synopsis__: A tribe of early apes has preserved and used fire for long, without knowing how to generate it. But looses it in an attack. 3 adventurers go to retrieve it. Face threats like saber tooth tigers, cannibals. Steals fire from cannibals and rescues a woman of a more advanced tribe. who ultimately is grateful and attracted to one of them, and ultimately teaches them how to produce fire by friction. And also humor and the missionary position.
Comments__: Much excitement, wanton copulation. Early men depicted as cunning, but monkey-like in their lack of impulse control. The civilizational advantage is not shown.","Science fiction,Action adventure:Science fiction,Action adventure"
117,Interstellar,"Synopsis__: crop blight on Earth has made farming increasingly difficult and threatens humanity's survival. Gravity anamolies in earth of the past created from inside an (alien?) blackhole by an earth astronaut who has sacrificed himself lead to solution to final discovery of anti-gravity by a girl bright who reads the message.
Comments__: many suspenses. great and credible plot - includes time dilation near black hole, slingshots. stunning scenes.","Science fiction,Action adventure:Science fiction,Action adventure"
118,Looper,"Synopsis__: In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination. The future self escapes. Young self ends up protecting the ""rainmaker"" - a kid with supernatural abilities - from old Joe - by killing himself.
Comments__:","Science fiction,Action adventure:Science fiction,Action adventure"
119,Lethal Weapon,,"Cop,Action adventure,Action adventure:Cop"
120,james bond: skyfall,"Synopsis__: Aging james bond returns from death to rescue female M from a wikileaks like hacker former spy seeking revenge.
A homage to the early bond movies, old boxing moves and primitive gizmos.
Comments__:","Action adventure:Spy,Action adventure,Spy"
121,James Bond: Golden Eye,,"Action adventure:Spy,Action adventure,Spy"
122,james bond: from russia with love,,"Action adventure:Spy,Action adventure,Spy"
123,james bond: world is not enough,"Synopsis__: Azeri Oil baroness is not the victim, but is the orchestrator of a plot to use stolen plutonium to blow up Istanbul for pipeline monopoly. 007 sent to protect her has sets the situation right.
Comments__:","Action adventure:Spy,Action adventure,Spy"
124,james bond: tomorrow never dies,,"Action adventure:Spy,Action adventure,Spy"
125,james bond: octopussy,,"Action adventure:Spy,Action adventure,Spy"
126,James Bond: Dr No,"Synopsis__: Crazy criminal genius
Comments__:","Action adventure:Spy,Action adventure,Spy"
127,xxx,"Synopsis__:  adventure rebel becomes spy in east europe
Comments__:","Action adventure:Spy,Action adventure,Spy"
128,ronin,"Synopsis__:  spy story set in Europe
Comments__:","Action adventure:Spy,Action adventure,Spy"
129,le transporteur,"Synopsis__:  frenchman transporting chinese girl wanting to stop herding chinese
Comments__:","Action adventure:Spy,Action adventure,Spy"
130,Star Wars 7,"Synopsis__: Hans Solo and Leia estranged, their son a sith lord. Empire against the republic. Luke run away and being sought by everyone. A rehash of episode 4, essentially.
Comments__:  Entirely predictable. A child's game.
Not much juice too. Some shRngAra - lovers tension. Attempted delivery of thrill of superb flying, which fails to thrill anymore (where's the suspense?).
PS: Did not watch 3D.","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
131,Star Wars 8: The last Jedi,"Synopsis__: Young talented wanna-be jedi girl wants to get trained, but is refused by Luke (recalling his nephew turning to the dark side). In an encounter, she manages to sense conflict within the nephew (who partially seems to love her) and partially exploit it to get him to kill the emperor. But he then wants to finish destroying the resistance and invites her to join him. Final battle -they part ways. Resistence forces desperately try to escape, and after thrills - get cornered.
Recalciterant Luke finally saves the day and lets the resistence escape while dying.
Comments__: Nice thriller.","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
132,Star wars: Clone wars,"Synopsis__:  'Clone wars' is a drag with senseless fighting.
Comments__:","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
133,black rain,"Synopsis__:  clever american cop in japan fights sato (motorcycle-gang leader)
Comments__:","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
134,the hunted,"Synopsis__: american loving geisha protected by takeda is hunted by ninja
Comments__:","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
135,crouching tiger hidden dragon,"Synopsis__:  warriors seek peace, love, a famed sword.
Comments__:","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
136,Enter the dragon,"Synopsis__:  4/4. kung fu.
Comments__:","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
137,Return of the dragon,"Synopsis__:  Lee fights gangsters while working in a Chinese resturant in Italy
Comments__:  mediocre","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
138,yojimbo,"Synopsis__:  ronin brings death to rival criminal enterprises in a village
Comments__:","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
139,Curse of the dragon,"Synopsis__:  life, martial arts and death of Bruce Lee
Comments__:  mediocre.","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
140,The 36th Chamber of Shaolin,"Synopsis__: Classic movie karate masters in bengaLUru ask their students to watch. Great showcase of deliberate cultivation by monk teachers and deliberate self cultivation by the student.
Comments__:","Action adventure:Eastern martial arts,Eastern martial arts,Action adventure"
141,My name is nobody.,,"Action adventure:western,Action adventure,western"
142,red sun,"Synopsis__: samurai in the wild west
Comments__:","Action adventure:western,Action adventure,western"
143,the quick and the dead,"Synopsis__:  western town quick gun boss trashed by a girl seeking vengence.
Comments__:","Action adventure:western,Action adventure,western"
144,desperado / el mariachi,"Synopsis__: Charismatic guitar player extracts vengence from drug cartel.
Comments__:","Action adventure:western,Action adventure,western"
145,Once upon a time in the west,"Synopsis__: Mysterious harmonica playing gunman exacts revenge from killer allied with a crippled railroad baron, helping a former whore widow profit from a station, getting help from a bandit with principles along the way.
Comments__: 4/4. Contrasts the peace of a wandering gunman with the worries and ways of businessmen.","Action adventure:western,Action adventure,western"
146,django,,"Action adventure:western,Action adventure,western"
147,the good the bad and the ugly,,"Action adventure:western,Action adventure,western"
148,a fistful of dollars,"Synopsis__:  western version of yojimbo. Sow fight between two gangs.
Comments__:","Action adventure:western,Action adventure,western"
149,for a few dollars more,"Synopsis__: A bounty hunter, and a former colnel seeking filial revenge take down Indio's gang, after the latter infiltrates them by helping in an escape, bank robbery. Finally, a showdown where there is vengence.
Comments__:","Action adventure:western,Action adventure,western"
150,high plains drifter,"Synopsis__:  a guilty town seeks protection from thugs they hired and turned in
Comments__:  cliches abound - is poetic in a way.","Action adventure:western,Action adventure,western"
151,lone ranger,,"Action adventure:western,Action adventure,western"
152,The hateful eight,"Synopsis__: A gang of 4 try take over a lodge and wait to rescue a murdress from a team of 2 bounty hunters + to-be-sheriff + driver during a blizzard.
Comments__: Determined, fairly brainy and articulate characters.
 Well depicted gun violence. Trust and suspicion are well placed and used by the characters.","Action adventure:western,Action adventure,western"
153,tarzan,,Action adventure
154,snatch,"Synopsis__: A twisted storyline centered around a diamond heist gone wrong involving professional (contrasted with) amateur killers and gangs, settled folk and pikeys.
Comments__: A variety of personalities. The pikies get their revenge, make great bargains - that's entertaining",Action adventure
155,Leon the professional,"Synopsis__: When her family is killed by a corrupt agent, he reluctantly takes in his 12-year- old neighbour. He then trains her to be competent with an arsenal of weapons.

Comments__:",Action adventure
156,Benji the hunted,"Synopsis__: A dog marooned in the wilderness faces off wild animals and protects cougar cubs, finally allowing himself to be rescued.
Comments__:",Action adventure
157,Description,"Synopsis__: These generally emphasize the coordination, leadership and individual risk invovled in weilding power of the many.
Comments__:","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
158,Edward Scissorhands,"Synopsis__: a frankenstein type sweet artificial boy with scissors for hands is lonely and stuck in his creator's castle, until a saleswoman brings him out into town. Though clumsy, initially he is accepted by the gossippy housewives (with one christian maniac exception), his gardening, sculpting and hair cutting skills are appreciated falls in love with the teenage daughter of his home. but falls from reputation after being caught in a failed burglary he participated in to please his love. the girl's spurned boyfriend is jealous and turns against him. he runs away in spite and is forced to fight and kill the boyfriend. he is left in the castle.
Comments__: Lesson: The near inevitability of reputation management.","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
159,gladiator,"Synopsis__:  General Maximus of the armies of the north, loyal to the good emperor Marcus Aurelius, escapes death at the hands of his incestuous cruel son, falls into slavery, gets vengence at the point of death in a gladiatorial fight with the emperor, spurs revolution
Comments__:","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
160,ben hur,"Synopsis__:  a jew becomes a roman galley slave, is freed, returns home, wins a chariot race against old friend, becomes a christian
Comments__:  4/4.","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
161,spartacus,"Synopsis__:  the slave/ gladiator rebellion
Comments__:  filled with cliches, starts with pro-christian anti-pagan diatribe.","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
